,Frame Time,ymin,ylow,yavg,yhigh,ymax,umin,ulow,uavg,uhigh,umax,vmin,vlow,vavg,vhigh,vmax,vdif,udif,ydif,satmin,satlow,satavg,sathigh,satmax,huemed,hueavg,tout,vrep,brng,vbitdepth,ubitdepth,ybitdepth,psnr mse v,psnr mse u,psnr mse y,psnr psnr v,psnr psnr u,psnr psnr y,psnr mse avg,psnr psnr avg
count,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0
mean,9.9099099,4.0,132.1596638655462,312.665137815126,610.3075630252101,931.8924369747899,422.14285714285717,494.14285714285717,504.19590756302523,512.0134453781512,545.9210084033614,473.1495798319328,499.6235294117647,508.0599361344538,513.8840336134454,547.344537815126,3.3389692605042014,5.0403051932773115,12.772410638655462,0.0,2.0,10.139851075630252,21.225210084033613,95.85546218487394,72.98991596638655,88.84114436974791,0.023269127731092437,0.0,0.015464803361344539,10.0,10.0,10.0,19.075046576470587,47.741287442016805,3240.5815640907563,47.398790971428575,43.42454309579832,25.16949994621849,1636.9948638033613,28.133744292436973
std,5.7359353314707375,0.0,2.273338344129786,8.350439687479996,13.631682000111574,7.27352979189935,8.184206802203924,2.2870066091726167,0.8186253196670282,0.1152689504332791,23.33980023641348,11.531517883839772,1.1689520100256123,0.49256209093142905,0.32045401117634426,13.051850091898046,0.1623573275667093,0.2963643318655419,2.4129455069420125,0.0,0.0,0.7550041046802503,1.4781357404643891,11.186328969082933,1.889158995452257,2.2341720485841003,0.0016180806803229577,0.0,0.00018315906314710377,0.0,0.0,0.0,0.9906896353927729,4.098500671985001,574.7370997515469,0.22813273411204096,0.37279845725337624,0.8585619179619539,287.8141472450757,0.8496547019722883
min,0.0,4.0,127.0,294.228,575.0,910.0,328.0,490.0,502.303,512.0,526.0,397.0,498.0,506.978,513.0,529.0,0.0,0.0,0.0,0.0,2.0,8.49007,18.0,84.0,68.0,82.727,0.013803,0.0,0.015172,10.0,10.0,10.0,16.30814,39.895428,1163.30957,46.7453,42.550991,23.378534,596.034058,26.356379
25%,4.95495495,4.0,130.0,308.06600000000003,604.0,927.0,422.0,492.0,503.5165,512.0,533.0,474.0,499.0,507.68100000000004,514.0,541.0,3.28764,4.8545300000000005,11.0959,0.0,2.0,9.527605000000001,20.0,92.0,71.0,87.3031,0.0225635,0.0,0.015326,10.0,10.0,10.0,18.45104,43.9390145,2877.910034,47.244087,43.082281,24.556690500000002,1455.369873,27.526920500000003
50%,9.9099099,4.0,133.0,313.981,614.0,932.0,423.0,494.0,504.209,512.0,536.0,477.0,500.0,508.06,514.0,544.0,3.35975,5.01963,12.376,0.0,2.0,10.2908,22.0,93.0,74.0,88.7031,0.023651,0.0,0.015404,10.0,10.0,10.0,19.16094,47.273937,3320.092041,47.373344,43.451294,24.986012,1678.124634,27.94927
75%,14.86486485,4.0,134.0,319.228,620.0,937.0,425.0,496.0,504.93449999999996,512.0,550.0,478.0,500.0,508.4255,514.0,547.0,3.40638,5.23613,13.885100000000001,0.0,2.0,10.8125,22.0,94.0,75.0,90.2277,0.02432,0.0,0.015609,10.0,10.0,10.0,19.739792,51.466339500000004,3665.070801,47.537304,43.7690085,25.6067405,1849.520752,28.5677795
max,19.8198198,4.0,136.0,325.661,629.0,952.0,432.0,498.0,505.769,513.0,678.0,481.0,502.0,509.211,514.0,622.0,3.52577,5.49758,29.8861,0.0,2.0,11.6214,24.0,187.0,79.0,95.3697,0.026603,0.0,0.015909,10.0,10.0,10.0,22.142216,58.163731,4807.263184,48.073467,44.188282,29.54056,2421.660889,32.444801
