Frame,Frame Time,YMIN,YLOW,YAVG,YHIGH,YMAX,UMIN,ULOW,UAVG,UHIGH,UMAX,VMIN,VLOW,VAVG,VHIGH,VMAX,VDIF,UDIF,YDIF,SATMIN,SATLOW,SATAVG,SATHIGH,SATMAX,HUEMED,HUEAVG,TOUT,VREP,BRNG,VBITDEPTH,UBITDEPTH,YBITDEPTH,psnr mse v,psnr mse u,psnr mse y,psnr psnr v,psnr psnr u,psnr psnr y,psnr mse avg,psnr psnr avg
22,0.7007007,4,132,311.426,611,940,422,496,505.062,512,536,476,498,507.615,514,540,3.40981,4.95546,11.4466,0,2,9.68434,21,93,71,89.5224,0.023825,0,0.015375,10,10,10,19.389347,45.438133,3215.444092,47.32188,43.623306,25.125103,1623.928955,28.091843
23,0.7340674,4,0,310.011,608,924,425,496,505.006,512,532,478,498,507.592,513,545,3.33373,4.87782,13.312,0,2,9.72864,21,90,71,89.8223,0.020951,0,0.015441,10,10,10,19.260185,43.037895,3782.224121,47.350906,43.859001,24.42004,1906.686523,27.39472
24,0.7674341,4,130,310.037,609,928,422,497,505.356,512,534,475,499,507.675,514,547,3.36696,4.88171,11.9116,0,2,9.44417,20,94,71,91.0598,0.022582,0,0.015438,10,10,10,19.500721,43.549667,3126.519775,47.297005,43.807663,25.246901,1579.022461,28.213629
25,0.8008008,4,131,310.953,610,939,384,497,505.575,513,543,478,499,507.698,514,536,3.37103,4.89377,9.64296,0,2,9.3329,20,131,71,92.9396,0.023228,0,0.015398,10,10,10,19.480145,45.434166,2916.94165,47.30159,43.623688,25.548235,1474.699341,28.510477
26,0.8341675,4,131,310.484,609,926,424,497,505.641,513,536,470,499,507.608,513,543,3.34821,4.89399,10.2181,0,2,9.33281,20,91,71,93.4476,0.023494,0,0.015409,10,10,10,19.331665,41.479847,3450.010254,47.33482,44.019142,24.819309,1740.208008,27.7915
27,0.8675342,4,131,311.932,611,935,423,497,505.51,513,534,473,499,507.617,514,541,3.3731,4.92399,10.0084,0,2,9.43857,20,92,71,92.4713,0.02288,0,0.015381,10,10,10,19.502651,43.388214,3872.044678,47.296577,43.823795,24.31811,1951.745117,27.293282
28,0.9009009,4,132,313.059,613,932,423,497,505.555,513,537,475,499,507.854,514,552,3.31938,4.8135,13.1741,0,2,9.32562,20,92,72,94.3464,0.021645,0,0.015423,10,10,10,18.899656,43.355339,3836.004883,47.432972,43.827087,24.358721,1933.566162,27.333921
29,0.9342676,4,132,312.262,611,926,424,497,505.262,512,559,478,499,507.762,514,544,3.30901,4.83137,11.1645,0,2,9.4461,20,91,71,90.1738,0.024028,0,0.015412,10,10,10,18.718428,42.075081,2754.395752,47.474819,43.957264,25.797249,1392.39624,28.759884
30,0.9676343,4,131,311.92,610,935,428,497,505.123,512,561,472,499,507.867,514,543,3.30822,4.85708,12.7417,0,2,9.50806,20,88,71,90.3432,0.022694,0,0.015386,10,10,10,18.392752,41.011147,2066.077148,47.551044,44.068493,27.046047,1047.889526,29.994358
31,1.001001,4,131,311.645,610,935,423,497,505.297,512,533,478,499,507.825,514,540,3.35397,4.85649,12.195,0,2,9.42183,20,92,71,91.4628,0.023242,0,0.015415,10,10,10,18.666107,42.074898,3206.943359,47.486977,43.957283,25.1366,1618.656982,28.105965
32,1.0343677,4,131,311.658,611,937,428,496,504.958,512,533,476,499,507.624,513,556,3.39934,4.92035,11.531,0,2,9.74885,21,88,71,89.1295,0.023408,0,0.015423,10,10,10,19.095177,42.428211,3406.137451,47.388275,43.920967,24.874891,1718.449463,27.846146
33,1.0677344,4,132,312.441,612,931,422,496,504.931,512,535,476,499,507.638,514,550,3.36026,4.91457,10.3745,0,2,9.76424,21,94,71,87.4564,0.023828,0,0.015421,10,10,10,19.517204,43.554127,3644.855713,47.293335,43.80722,24.580709,1838.195679,27.553595
34,1.1011011,4,132,311.513,610,934,423,496,504.902,512,532,478,499,507.769,514,543,3.36064,4.97523,10.7396,0,2,9.68968,21,93,71,90.0839,0.023545,0,0.015429,10,10,10,18.501062,43.866051,3508.384033,47.525547,43.776226,24.746441,1769.783813,27.718311
35,1.1344678,4,132,312.319,613,934,422,496,504.802,512,534,478,498,507.646,514,549,3.34292,4.89586,10.8781,0,2,9.87337,21,93,71,89.4473,0.022551,0,0.015401,10,10,10,19.336111,44.815742,3413.282959,47.33382,43.683208,24.865789,1722.679443,27.835468
36,1.1678345,4,62,313.848,614,939,425,496,504.734,512,552,476,499,507.652,514,619,3.34664,4.93408,12.5054,0,2,9.9219,21,110,71,88.7417,0.020376,0,0.015415,10,10,10,19.374496,43.916668,3634.082764,47.325207,43.771217,24.593565,1832.864136,27.56621
37,1.2012012,4,132,314.37,615,930,424,496,504.638,512,540,476,499,507.889,514,537,3.34869,4.93502,12.9074,0,2,9.92962,22,91,74,90.4329,0.02296,0,0.015449,10,10,10,19.268312,43.188374,3536.522949,47.349075,43.843845,24.711748,1783.87561,27.683867
38,1.2345679,4,132,313.159,614,936,422,496,504.546,512,543,475,499,507.86,514,536,3.3767,5.03672,13.2653,0,2,9.94148,21,94,72,89.8282,0.024088,0,0.015438,10,10,10,18.42651,43.793552,2920.318848,47.543083,43.783409,25.543211,1475.714355,28.50749
39,1.2679346,4,132,312.765,613,938,424,496,504.584,512,542,452,499,507.752,514,540,3.36902,5.03588,12.9567,0,2,9.99831,22,92,71,89.0088,0.024554,0,0.015404,10,10,10,19.116678,45.927559,3155.852783,47.383389,43.576778,25.206345,1594.1875,28.172119
40,1.3013013,4,132,313.078,614,939,424,496,504.716,512,535,478,499,507.714,514,536,3.32957,4.99455,12.5707,0,2,9.92541,22,91,71,89.2053,0.023177,0,0.015404,10,10,10,19.051121,44.420746,3106.257324,47.398308,43.721653,25.275139,1568.996582,28.241293
41,1.334668,4,132,313.457,614,931,423,494,504.331,512,529,477,498,507.515,513,591,3.40714,5.04853,10.998,0,2,10.2956,22,92,71,86.8769,0.0226,0,0.015406,10,10,10,19.284466,46.175972,3519.227783,47.345436,43.553352,24.73304,1775.979004,27.703135
42,1.3680347,4,132,313.319,614,923,422,494,504.267,512,547,474,499,507.583,513,540,3.35752,4.98338,10.3853,0,2,10.2908,22,94,71,87.0301,0.023805,0,0.015364,10,10,10,19.199623,46.51157,2573.211914,47.364586,43.521904,26.092756,1303.033813,29.047956
43,1.4014014,4,132,312.6,612,934,422,495,504.348,512,542,478,499,507.549,513,542,3.3909,5.09423,11.4202,0,2,10.2227,22,92,71,86.5717,0.023591,0,0.015395,10,10,10,19.214552,45.607796,2562.473633,47.36121,43.607121,26.110918,1297.442383,29.066631
44,1.4347681,4,132,312.573,611,945,419,496,504.317,512,535,478,499,507.679,513,540,3.41765,5.12761,13.3672,0,2,10.1791,21,95,71,86.4827,0.023834,0,0.015366,10,10,10,18.840546,46.454628,2822.98999,47.446579,43.527222,25.690418,1427.818848,28.650782
45,1.4681348,4,132,313.195,613,938,424,494,504.311,512,535,476,499,507.615,514,541,3.43009,5.07116,14.5197,0,2,10.2546,22,91,71,88.3809,0.023594,0,0.015432,10,10,10,20.141975,49.115067,3342.641113,47.15649,43.285366,24.956615,1688.634766,27.922155
46,1.5015015,4,132,312.24,611,930,424,496,504.619,512,559,464,499,507.599,513,538,3.44701,5.10135,11.0192,0,2,10.0003,21,91,71,88.46,0.022408,0,0.015406,10,10,10,19.749144,45.579037,3513.263428,47.242031,43.609863,24.740406,1772.963745,27.710514
47,1.5348682,4,0,314.039,987,937,421,496,504.611,512,568,467,499,507.604,514,539,3.38076,5.01715,15.9914,0,2,10.0215,21,95,71,87.9361,0.019359,0,0.015338,10,10,10,19.750309,46.223537,4094.950684,47.241776,43.548882,24.075026,2063.96875,27.050482
48,1.5682349,4,132,313.946,615,933,430,496,504.583,512,527,455,499,507.653,513,544,3.36863,5.00319,12.3832,0,2,9.9897,21,87,71,88.0936,0.024068,0,0.015286,10,10,10,19.282156,44.134922,2465.056641,47.345955,43.749687,26.279243,1248.382568,29.234035
49,1.6016016,4,132,312.973,612,939,428,496,504.609,512,528,476,500,507.899,514,540,3.38666,4.99081,10.7498,0,2,9.89909,21,89,72,89.8947,0.02404,0,0.015312,10,10,10,19.413271,44.031197,2887.687744,47.316525,43.759907,25.59201,1459.704956,28.554861
50,1.6349683,4,132,313.195,613,944,424,496,504.827,512,529,478,499,507.916,514,542,3.37726,4.96704,10.5294,0,2,9.68413,21,92,71,89.6426,0.023002,0,0.015318,10,10,10,19.096697,42.911819,3656.221191,47.387932,43.871742,24.567188,1843.612671,27.540815
51,1.668335,4,133,315.466,617,940,423,496,504.841,512,534,478,499,507.727,514,539,3.38291,4.97522,12.3919,0,2,9.82553,21,92,71,90.4585,0.022445,0,0.015286,10,10,10,19.148983,44.613728,4000.076416,47.376057,43.702827,24.17683,2015.978882,27.152653
52,1.7017017,4,133,315.98,617,939,428,496,504.888,512,533,478,499,507.827,514,542,3.33779,4.94736,13.5402,0,2,9.71191,21,89,71,90.374,0.022888,0,0.015272,10,10,10,18.617798,45.47443,3784.729492,47.49823,43.619839,24.417164,1908.387817,27.390846
53,1.7350684,4,133,315.852,617,946,428,496,504.685,512,567,477,499,507.703,514,546,3.36349,5.0181,13.2786,0,2,9.93536,21,89,71,89.2014,0.024363,0,0.015315,10,10,10,19.167639,45.431652,2349.766846,47.371826,43.623928,26.487265,1191.033325,29.438274
54,1.7684351,4,132,314.382,614,932,428,496,504.486,512,550,472,499,507.805,514,550,3.38888,5.00112,13.2218,0,2,10.0128,21,89,71,87.3312,0.02326,0,0.015321,10,10,10,18.717798,43.943497,2304.982178,47.474964,43.768566,26.570837,1168.156372,29.522503
55,1.8018018,4,133,313.358,612,944,424,496,504.535,512,529,476,498,507.642,514,542,3.34715,4.96743,12.9749,0,2,10.0626,22,91,71,87.4417,0.020327,0,0.015246,10,10,10,19.382591,44.986706,3914.236084,47.323395,43.666672,24.271042,1973.210327,27.245779
56,1.8351685,4,133,313.599,613,932,400,496,504.508,512,540,478,499,507.563,513,542,3.33713,4.91563,17.0977,0,2,10.1202,22,115,71,86.9783,0.022074,0,0.015369,10,10,10,19.314552,47.478485,3805.477539,47.338665,43.432545,24.393421,1919.437012,27.365774
57,1.8685352,4,134,316.232,618,946,428,496,504.619,512,537,478,498,507.589,514,539,3.38164,5.07655,13.046,0,2,10.0657,21,88,71,88.3343,0.024108,0,0.015389,10,10,10,19.650034,48.024406,3385.009033,47.263878,43.382893,24.901915,1709.423096,27.869017
58,1.9019019,4,134,313.609,1094,930,424,496,504.53,512,589,477,499,507.633,514,555,3.36843,4.98122,16.8221,0,2,10.0703,21,90,71,87.7002,0.023608,0,0.015361,10,10,10,19.26565,46.523228,2562.961426,47.349678,43.520813,26.110092,1297.927979,29.065006
59,1.9352686,4,62,312.577,610,927,422,496,504.829,512,596,479,499,507.69,514,541,3.35482,4.95705,16.5209,0,2,9.86059,21,94,71,89.1505,0.022557,0,0.015369,10,10,10,19.164791,47.011364,2210.689941,47.372471,43.475483,26.752235,1121.888916,29.698013
60,1.9686353,4,133,313.199,611,932,423,496,504.791,512,540,478,498,507.544,514,542,3.37402,4.9961,13.3559,0,2,9.9949,21,94,71,88.5945,0.019041,0,0.015306,10,10,10,19.606001,44.711304,3678.384277,47.273621,43.69334,24.540941,1855.271484,27.513437
61,2.002002,4,133,314.895,615,937,423,496,504.821,512,540,457,499,507.68,514,543,3.41651,5.0098,15.8201,0,2,9.88821,21,92,71,89.5336,0.017713,0,0.015292,10,10,10,19.972359,43.471729,4052.313477,47.193218,43.815445,24.120481,2042.017822,27.096918
62,2.0353687,4,133,315.354,618,938,423,496,504.871,512,536,479,498,507.6,514,558,3.38137,4.89664,17.1212,0,2,9.90918,21,92,71,88.4266,0.021456,0,0.015338,10,10,10,19.825754,43.934532,3372.063232,47.225216,43.769451,24.918556,1701.97168,27.887989
63,2.0687354,4,133,312.975,612,937,422,496,504.852,512,534,475,498,507.546,514,578,3.34003,4.89613,13.6808,0,2,9.98478,21,93,71,88.9711,0.023914,0,0.015426,10,10,10,20.176943,43.914288,3181.822266,47.14896,43.771454,25.170753,1606.93396,28.137533
64,2.1021021,4,133,314.08,614,941,422,496,505.129,512,533,478,498,507.375,513,545,3.37706,4.88193,16.0602,0,2,9.80635,21,93,70,88.3219,0.023585,0,0.015404,10,10,10,19.573833,44.769135,2654.383301,47.280754,43.687725,25.957876,1343.277344,28.915855
65,2.1354688,4,132,313.662,614,930,426,496,505.142,512,535,478,498,507.343,513,562,3.43034,4.97212,11.4912,0,2,9.82899,21,90,70,88.1632,0.02288,0,0.015415,10,10,10,19.457155,44.004803,2967.290039,47.306721,43.762512,25.473913,1499.510498,28.438017
66,2.1688355,4,131,312.466,613,928,428,496,505.157,512,534,459,498,507.41,513,543,3.32366,4.90868,11.0872,0,2,9.77772,21,89,71,89.9674,0.023554,0,0.015415,10,10,10,20.140203,44.185493,3390.481934,47.156876,43.744717,24.894897,1711.322388,27.864195
67,2.2022022,4,0,312.146,612,938,424,496,505.226,512,532,476,498,507.343,513,558,3.42317,4.97422,10.6949,0,2,9.80221,21,91,71,90.0008,0.024037,0,0.015295,10,10,10,20.194525,43.53611,2921.618408,47.145176,43.809017,25.541279,1476.741821,28.504467
68,2.2355689,4,132,312.735,612,944,422,496,504.921,512,549,476,499,507.673,514,544,3.42463,4.97219,11.5576,0,2,9.83986,21,93,71,89.5453,0.024657,0,0.015341,10,10,10,18.816061,42.812607,2900.557373,47.452225,43.881794,25.572699,1465.685913,28.537104
69,2.2689356,4,132,311.593,609,933,422,496,504.94,512,615,478,498,507.601,514,550,3.35831,4.90427,13.666,0,2,9.8371,21,108,71,88.9706,0.023325,0,0.015281,10,10,10,19.474726,46.615776,3394.053467,47.302799,43.512184,24.890326,1713.549316,27.858547
70,2.3023023,4,132,311.841,610,933,420,496,504.985,512,536,480,500,507.969,514,556,3.41016,5.00172,11.7334,0,2,9.54295,20,95,71,90.4889,0.021919,0,0.015326,10,10,10,18.441324,44.310642,3627.678711,47.539593,43.732433,24.601225,1829.527344,27.574123
71,2.335669,4,132,313.432,613,931,424,496,504.856,512,538,449,499,507.825,514,544,3.37733,4.98759,11.6307,0,2,9.74962,21,91,71,89.5212,0.022748,0,0.015321,10,10,10,19.309397,44.317123,3364.262207,47.339825,43.731796,24.928614,1698.03772,27.898039
72,2.3690357,4,132,313.528,613,928,422,496,504.99,512,533,472,499,507.75,514,546,3.41147,4.99675,10.9621,0,2,9.63929,20,94,71,87.7569,0.023528,0,0.015346,10,10,10,19.304983,43.000778,3319.122803,47.340816,43.862751,24.98728,1675.137817,27.957006
73,2.4024024,4,131,312.54,1034,935,422,496,504.832,512,553,465,499,507.646,513,547,3.31444,4.87986,10.5036,0,2,9.77257,21,95,71,88.1904,0.024074,0,0.015361,10,10,10,18.502504,43.798264,2660.542725,47.525208,43.782944,25.947809,1345.846558,28.907557
74,2.4357691,4,132,311.965,610,929,422,496,505.029,512,554,480,498,507.598,513,554,3.33771,4.89043,11.3651,0,2,9.74969,21,93,71,89.5953,0.023954,0,0.015338,10,10,10,19.164633,42.61869,3384.34082,47.372509,43.901512,24.902771,1707.616333,27.87361
75,2.4691358,4,51,312.101,610,939,419,497,505.288,512,538,478,499,507.677,514,549,3.38495,4.91935,10.4489,0,2,9.53492,20,96,71,90.8652,0.02328,0,0.015381,10,10,10,19.949337,45.283676,3961.142334,47.198227,43.638096,24.219309,1996.879517,27.193995
76,2.5025025,4,132,312.914,612,938,423,497,505.561,512,591,476,498,507.335,513,545,3.42751,4.91162,14.1865,0,2,9.5479,21,93,69,89.8435,0.021108,0,0.015423,10,10,10,21.372713,43.361214,3935.784912,46.898914,43.8265,24.2472,1984.075928,27.22193
77,2.5358692,4,132,311.881,611,925,420,497,505.33,512,535,479,498,507.602,514,547,3.39059,4.75633,11.6002,0,2,9.50989,20,97,71,89.9455,0.022897,0,0.015478,10,10,10,19.424896,44.588192,3381.174072,47.313927,43.705315,24.906837,1706.590332,27.876221
78,2.5692359,4,131,311.403,610,923,416,497,505.415,512,535,476,498,507.5,513,546,3.32736,4.75665,13.2329,0,2,9.58064,20,101,71,90.3641,0.024394,0,0.015458,10,10,10,19.604286,42.979446,2179.468018,47.274002,43.864906,26.814007,1105.380005,29.762396
79,2.6026026,4,132,311.412,609,924,419,497,505.126,512,533,477,498,507.437,513,551,3.34051,4.83095,16.5955,0,2,9.77958,21,97,71,88.0668,0.023651,0,0.015381,10,10,10,18.474543,41.698479,2178.868896,47.531776,43.996311,26.815201,1104.477661,29.765944
80,2.6359693,4,132,310.522,608,949,410,496,505.051,512,584,478,499,507.704,513,608,3.3513,4.81738,15.5107,0,2,9.64484,20,118,71,88.913,0.024446,0,0.015343,10,10,10,19.368176,42.493896,3270.997803,47.326626,43.914246,25.050711,1650.964478,28.020136
81,2.669336,4,132,309.847,608,937,416,496,504.9,512,535,478,498,507.646,514,546,3.33772,4.94497,14.7085,0,2,9.85673,21,100,71,89.6244,0.024314,0,0.015343,10,10,10,19.128704,45.278465,3660.133545,47.380657,43.638596,24.562544,1846.168579,27.5348
82,2.7027027,4,132,311.478,612,937,420,496,504.864,512,591,463,499,507.795,514,546,3.38111,4.9482,12.8885,0,2,9.82211,21,97,72,91.1045,0.023968,0,0.015318,10,10,10,19.821789,45.440617,3518.164551,47.226086,43.62307,24.734352,1775.397827,27.704556
83,2.7360694,4,131,310.118,609,936,414,496,504.984,512,540,476,499,507.791,514,549,3.38754,5.0117,10.1016,0,2,9.68185,21,100,71,90.1185,0.024414,0,0.015372,10,10,10,19.118542,43.823685,3074.782471,47.382965,43.780422,25.319368,1553.126709,28.285444
84,2.7694361,4,0,309.902,940,925,418,496,505.044,512,533,476,499,507.747,514,550,3.30943,4.79063,14.6655,0,2,9.66136,21,98,71,89.5756,0.021033,0,0.015352,10,10,10,19.248137,41.353886,3650.794189,47.353626,44.032349,24.573639,1840.547607,27.548042
85,2.8028028,4,132,310.288,608,934,418,496,504.922,512,531,477,498,507.649,514,563,3.3491,4.7964,13.4946,0,2,9.87028,21,97,71,90.5202,0.021625,0,0.015352,10,10,10,19.470062,43.81501,3362.751465,47.303841,43.781284,24.930565,1697.197021,27.90019
