MEADOW Ingest fields,,,,,,,,,,,,Technical,,,,,,Digitization,,,,QC,,,,,
work_accession_number,filename,label,description,checked in? (yes/no),packing & shipping check in? (yes/no),date created,container markings,condition notes,barcode,call number,box/folder ALMA number,format,duration (min),tape brand,tape record mode,sound,video standard,date digitized,digitizer,capture deck,capture notes,inventory check (initial/date),file format and metadata verification (initial/date),file inspection (initial/date),QC notes ,INGESTED checked in Meadow (date),notes for the metadata record
