criteria,brngout,clipping,avglow,avghigh,brnglimit,clippinglimit,illegal,ideal,max
ylow,15,0,,,,,,,
yhigh,236,255,,,,,,,
yavg,,,80,170,,,,,
ulow,15,0,,,,,,,
uhigh,241,255,,,,,,,
uavg,,,85,170,,,,,
vlow,15,0,,,,,,,
vhigh,241,255,,,,,,,
vavg,,,85,170,,,,,
tout,,,,,,,,0,0.009
vrep,,,,,,,,0,0.03
brng,,,,,,,,0,1
sat,,,,,88.7,118.2,181.02,,
msef,,,,,,,,0,
psnrideal,,,,,,,,30,50
psnrmax,,,,,,,,0,60
