Spreadsheet Row Number,work_image,structure,role,work_type,work_accession_number,file_accession_number,filename,label,description,Capture date,Staff Initials,Container number ex. Box Number,folder number,Width (cm.),Height (cm.),Date (Year+Month+Day),project_job_number,Notes about album page or photo,Production Notes,Creator,Source,Copyright Notice
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0020_01_a,p0386_grea_b01_f02_0020_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0021_01_a,p0386_grea_b01_f02_0021_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0022_01_a,p0386_grea_b01_f02_0022_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0023_01_a,p0386_grea_b01_f02_0023_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0024_01_a,p0386_grea_b01_f02_0024_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0025_01_a,p0386_grea_b01_f02_0025_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0026_01_a,p0386_grea_b01_f02_0026_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0027_01_a,p0386_grea_b01_f02_0027_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0028_01_a,p0386_grea_b01_f02_0028_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0029_01_a,p0386_grea_b01_f02_0029_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0030_01_a,p0386_grea_b01_f02_0030_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0031_01_a,p0386_grea_b01_f02_0031_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0032_01_a,p0386_grea_b01_f02_0032_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0033_01_a,p0386_grea_b01_f02_0033_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0034_01_a,p0386_grea_b01_f02_0034_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0035_01_a,p0386_grea_b01_f02_0035_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0036_01_a,p0386_grea_b01_f02_0036_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0037_01_a,p0386_grea_b01_f02_0037_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0038_01_a,p0386_grea_b01_f02_0038_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0039_01_a,p0386_grea_b01_f02_0039_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0040_01_a,p0386_grea_b01_f02_0040_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0041_01_a,p0386_grea_b01_f02_0041_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0042_01_a,p0386_grea_b01_f02_0042_01_a.tif,,,,,01,02,,,,p0386,,,,,
