,Frame Time,ymin,ylow,yavg,yhigh,ymax,umin,ulow,uavg,uhigh,umax,vmin,vlow,vavg,vhigh,vmax,vdif,udif,ydif,satmin,satlow,satavg,sathigh,satmax,huemed,hueavg,tout,vrep,brng,vbitdepth,ubitdepth,ybitdepth,psnr mse v,psnr mse u,psnr mse y,psnr psnr v,psnr psnr u,psnr psnr y,psnr mse avg,psnr psnr avg
count,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0
mean,15.248582513661203,4.0,100.55846994535518,359.51934316939895,662.487431693989,978.1857923497267,31.15081967213115,273.7431693989071,525.5260841530054,760.8415300546449,939.4142076502732,141.01748633879782,278.42513661202184,512.016537704918,745.6295081967213,875.3267759562841,17.096624153005465,24.702059890710384,9.737685103825136,0.0,6.382513661202186,182.98453224043718,317.17814207650275,521.055737704918,216.05792349726775,193.74910819672132,0.014732936612021857,0.0,0.015416568306010929,10.0,10.0,10.0,818.5880607311475,1833.6867343704919,804.6697799125684,31.10796980327869,27.595995796721308,31.148115462295085,1065.4035884765028,29.933825584699452
std,8.818210913936557,0.0,0.7274109974533517,0.8378553717081654,1.4020169374395863,16.420567215572152,40.10570260838879,4.594336348874547,1.5371074074990414,3.6552803234231845,32.95036409152825,20.76427352313923,3.0491276253426096,1.1599770018890805,3.8242865610427423,15.762157753806312,2.0995236202655008,3.0385423764239063,0.4317225558948045,0.0,0.5082688456438355,2.0657066380395883,3.507722465425823,28.72254958909991,7.154892287687348,2.7052104967683235,0.001129324014186869,0.0,0.00038560330473480227,0.0,0.0,0.0,123.50695664556712,224.58266167641298,64.5167384301182,0.5816276206951241,0.5235750541998925,0.2069005924518939,81.46920028479884,0.30945021198102424
min,0.0,4.0,99.0,357.773,660.0,944.0,4.0,259.0,519.956,751.0,857.0,4.0,270.0,509.124,734.0,841.0,0.0,0.0,0.0,0.0,5.0,177.284,305.0,401.0,184.0,183.249,0.01166,0.0,0.014972,10.0,10.0,10.0,558.345398,1323.175659,722.100342,25.869764,24.694969,25.990597,885.16449,27.219412
25%,7.624499999999999,4.0,100.0,358.90200000000004,662.0,966.0,4.0,271.0,524.483,758.0,916.0,131.5,276.0,511.2365,743.0,865.0,15.536200000000001,22.3809,9.577645,0.0,6.0,181.55849999999998,315.0,508.0,212.0,191.9565,0.013993499999999999,0.0,0.0150935,10.0,10.0,10.0,740.3605955,1676.7828370000002,789.726807,30.751955,27.237944499999998,31.099486499999998,1013.6805725,29.745697
50%,15.249,4.0,101.0,359.296,662.0,975.0,10.0,274.0,525.538,761.0,938.0,143.0,278.0,511.924,746.0,873.0,17.0797,24.7885,9.74001,0.0,6.0,182.889,317.0,526.0,218.0,193.782,0.014683,0.0,0.015349,10.0,10.0,10.0,808.848816,1819.640137,801.075562,31.118839,27.597658,31.160778,1060.788086,29.941227
75%,22.873,4.0,101.0,359.98,663.0,987.0,43.5,277.0,526.6025,763.0,962.0,155.0,280.0,512.8215,748.0,883.0,18.6184,26.83635,9.921675,0.0,7.0,184.3625,320.0,541.0,222.0,195.6085,0.015404,0.0,0.0155965,10.0,10.0,10.0,880.1481014999999,1976.7728885000001,812.46106,31.503081,27.9527445,31.222744,1109.638672,30.138500999999998
max,30.497,4.0,103.0,361.8,666.0,1019.0,172.0,286.0,529.853,775.0,1019.0,186.0,290.0,515.428,758.0,1019.0,25.0627,34.0687,12.5319,0.0,8.0,189.959,329.0,635.0,228.0,202.631,0.01941,0.0,0.01781,10.0,10.0,10.0,2708.786621,3550.213135,2634.459473,32.728485,28.981339,31.611538,1985.22644,30.727272
